,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
142,Vila Velha,75,BR,1571019770,74,-3.71,-38.6,80.6,14.99
143,Saint Anthony,1,US,1571019771,36,43.97,-111.68,46.4,4.61
144,Tezu,0,IN,1571019771,52,27.93,96.16,79.2,2.42
145,Altay,0,CN,1571019771,34,47.83,88.13,47.95,3.76
146,Puerto Ayacucho,20,CO,1571019557,83,5.66,-67.63,80.6,1.22
147,Saint George,0,GR,1571019772,93,39.45,22.34,57.2,1.21
148,Bandarbeyla,94,SO,1571019452,77,9.49,50.81,80.65,10.16
149,Huangpi,44,CN,1571019772,57,30.88,114.37,75.2,15.66
150,Islamkot,1,PK,1571019773,31,24.7,70.18,87.15,4.71
151,Marawi,100,PH,1571019487,75,8.0,124.29,84.99,5.01
152,Qaqortoq,0,GL,1571019565,47,60.72,-46.03,35.6,8.05
153,Lebowakgomo,3,ZA,1571019774,77,-24.3,29.54,60.8,13.87
154,Bermejo,98,AR,1571019774,95,-22.73,-64.34,66.2,3.17
155,Taguatinga,93,BR,1571019774,38,-15.83,-48.06,73.4,2.24
156,La Ronge,75,CA,1571019542,53,55.1,-105.3,32.0,2.24
157,Kundla,0,IN,1571019775,50,21.34,71.31,82.58,6.08
158,Anzio,100,IT,1571019775,93,41.45,12.63,63.0,4.7
159,Hovd,8,NO,1571019605,92,63.83,10.7,42.01,6.93
160,Inuvik,75,CA,1571019776,86,68.36,-133.71,26.6,4.7
161,Kedainiai,100,LT,1571019776,100,55.29,23.97,53.6,4.7
162,Half Moon Bay,20,US,1571019490,87,37.46,-122.43,73.99,5.19
163,Tecoanapa,75,MX,1571019530,83,16.99,-99.26,84.2,11.41
164,Cherskiy,100,RU,1571019777,78,68.75,161.3,30.83,1.62
165,Yulara,75,AU,1571019777,8,-25.24,130.99,95.0,12.75
166,Fortuna,1,US,1571019451,93,40.6,-124.16,54.0,8.05
167,Humboldt,94,CA,1571019777,45,52.21,-105.12,35.69,3.18
168,Chihuahua,90,MX,1571019778,100,28.66,-106.08,59.0,2.91
169,Sabzevar,66,IR,1571019778,64,36.21,57.68,51.26,11.5
170,Geraldton,90,CA,1571019607,96,49.72,-86.95,33.8,5.82
171,Adrar,0,DZ,1571019779,36,27.87,-0.29,77.99,8.24
172,Coos Bay,90,US,1571019779,82,43.37,-124.22,57.0,17.22
173,Huron,90,US,1571019779,91,44.36,-98.21,37.4,5.82
174,Nynashamn,100,SE,1571019780,100,58.9,17.95,51.01,4.7
175,Saint-Louis,75,SN,1571019780,88,16.03,-16.5,80.6,2.24
176,Trat,20,TH,1571019780,79,12.25,102.51,84.2,3.36
177,Calvinia,0,ZA,1571019781,41,-31.47,19.78,52.36,3.01
178,San Juan de los Morros,10,VE,1571019781,97,9.91,-67.35,68.09,1.89
179,Chara,0,GR,1571019781,93,39.42,22.43,57.2,1.21
180,Nabire,96,ID,1571019782,64,-3.36,135.5,87.48,3.79
181,Torbay,90,CA,1571019511,93,47.66,-52.73,53.6,9.17
182,Dalvik,100,SE,1571019782,100,57.79,14.13,55.99,6.93
183,Lulea,0,SE,1571019782,86,65.58,22.15,28.4,5.82
184,Bend,40,US,1571019783,58,44.06,-121.32,55.4,9.17
185,Aden,74,YE,1571019783,64,12.79,45.03,81.34,9.54
186,Macapa,40,BR,1571019783,83,0.05,-51.07,82.4,11.41
187,Vestmannaeyjar,65,IS,1571019784,71,63.44,-20.27,44.64,24.09
188,Aborlan,90,PH,1571019784,83,9.44,118.55,82.4,4.7
189,Santa Isabel do Rio Negro,100,BR,1571019784,97,-0.41,-65.02,71.89,1.39
190,Nekrasovskoye,97,RU,1571019784,84,57.68,40.37,47.19,12.83
191,Melbu,0,NO,1571019785,73,68.5,14.83,37.0,7.0
192,Marfino,34,RU,1571019438,93,56.07,37.56,46.0,8.95
193,Non Sang,2,TH,1571019785,62,16.87,102.57,84.2,6.93
194,Nuuk,0,GL,1571019785,58,64.17,-51.74,30.2,18.34
195,Santiago,100,PH,1571019786,78,16.69,121.54,79.86,3.08
196,Garissa,51,KE,1571019786,79,-0.46,39.64,75.6,11.8
197,Borogontsy,99,RU,1571019787,74,62.67,131.17,22.05,7.28
198,Calella,75,ES,1571019787,100,41.62,2.67,71.01,2.24
199,Teguldet,99,RU,1571019787,85,57.31,88.17,45.54,7.69
200,Rossland,100,CA,1571019787,75,49.08,-117.8,44.01,1.5
201,Mayumba,100,GA,1571019788,91,-3.44,10.65,75.74,12.86
202,Chernoyerkovskaya,0,RU,1571019788,100,45.43,37.76,46.4,8.95
203,Bulgan,0,MN,1571019788,26,48.81,103.53,38.03,2.88
204,General Roca,26,AR,1571019789,13,-39.03,-67.58,55.4,11.41
205,Bozova,0,TR,1571019789,17,37.36,38.53,66.2,12.75
206,Taga,19,ID,1571019789,30,-8.61,120.44,88.68,5.89
207,Calamar,54,CO,1571019790,92,1.96,-72.65,72.09,0.91
208,Aswan,76,EG,1571019545,21,24.09,32.9,84.2,8.05
209,Palmeiras de Goias,60,BR,1571019790,39,-16.8,-49.93,77.67,2.29
210,Cap Malheureux,75,MU,1571019790,88,-19.98,57.61,70.0,3.36
211,Marsa Matruh,40,EG,1571019791,78,31.35,27.25,73.4,5.82
212,Turukhansk,95,RU,1571019533,98,65.8,87.96,35.06,5.15
213,Steinbach,90,CA,1571019791,98,49.53,-96.69,35.01,9.17
214,Srednekolymsk,100,RU,1571019602,96,67.46,153.71,28.17,15.72
215,Port Blair,93,IN,1571019595,75,11.67,92.75,83.71,10.73
216,Erdaojiang,0,CN,1571019792,33,41.78,126.03,38.64,8.0
217,Mount Isa,0,AU,1571019528,8,-20.73,139.49,100.4,10.29
218,Kamina,100,CD,1571019793,94,-8.74,25.0,66.24,3.35
219,Cassilandia,100,BR,1571019793,80,-19.11,-51.73,72.03,5.26
220,Batemans Bay,53,AU,1571019793,34,-35.71,150.18,71.01,1.01
221,La Asuncion,100,AR,1571019794,96,-26.05,-65.39,51.53,2.8
222,Kurmanayevka,0,RU,1571019794,92,52.51,52.07,43.36,10.94
223,Vila,75,IT,1571019522,93,45.18,8.4,60.01,3.36
224,Ulaangom,0,MN,1571019794,34,49.98,92.07,46.78,1.64
225,Toyooka,75,JP,1571019795,100,35.55,134.82,68.0,2.24
226,Sao Paulo de Olivenca,100,BR,1571019795,79,-3.38,-68.87,76.41,1.57
227,Houma,100,CN,1571019795,85,35.63,111.36,50.38,9.94
228,Marathon,100,CA,1571019796,73,48.72,-86.38,42.46,12.67
229,Beringovskiy,91,RU,1571019542,84,63.05,179.32,38.57,15.01
230,Neryungri,27,RU,1571019796,66,56.66,124.71,20.95,6.46
231,Xapuri,0,BR,1571019797,82,-10.65,-68.5,73.92,2.03
232,Almaznyy,0,RU,1571019797,85,48.03,40.04,51.55,5.92
233,Monterey,1,US,1571019797,71,36.6,-121.89,60.01,6.93
234,Pavlogradka,100,RU,1571019798,67,54.2,73.56,50.23,11.85
235,Presidente Olegario,55,BR,1571019798,68,-18.42,-46.42,66.0,6.52
236,Nishihara,75,JP,1571019482,87,35.74,139.53,64.99,6.93
237,Dunedin,100,NZ,1571019798,84,-45.87,170.5,52.0,21.0
238,Raha,0,IN,1571019799,79,26.23,92.52,77.77,3.22
239,Vrutky,90,SK,1571019799,100,49.11,18.92,55.0,1.12
240,Eufaula,75,US,1571019799,78,31.89,-85.15,73.4,11.41
241,Lagos,20,NG,1571019800,94,6.46,3.39,77.0,9.07
242,Taoudenni,38,ML,1571019800,29,22.68,-3.98,86.47,8.9
243,Nome,40,US,1571019574,64,30.04,-94.42,75.99,4.7
244,Fort Nelson,90,CA,1571019800,69,58.81,-122.69,35.6,3.36
245,Praia,33,BR,1571019801,41,-20.25,-43.81,75.2,5.82
246,Erenhot,0,CN,1571019801,22,43.65,111.97,38.03,3.91
247,Pueblo Nuevo,40,AR,1571019801,27,-32.93,-68.73,62.6,10.29
248,Berkak,14,NO,1571019802,83,62.83,10.01,28.71,4.62
249,Yara,86,CU,1571019802,95,20.27,-76.95,75.51,5.88
250,Mtsensk,100,RU,1571019802,95,53.28,36.58,47.37,5.23
251,Namatanai,80,PG,1571019593,66,-3.66,152.44,83.98,1.44
252,Selma,66,US,1571019803,82,32.41,-87.02,60.8,4.7
253,Cayenne,98,GF,1571019571,94,4.94,-52.33,75.2,5.75
254,Grand Gaube,75,MU,1571019548,88,-20.01,57.66,70.0,3.36
255,Bougouni,95,ML,1571019803,88,11.42,-7.49,72.28,2.69
256,Kuybyshevo,0,UA,1571019803,34,44.63,33.86,52.0,4.58
257,Tortoli,75,IT,1571019804,94,39.93,9.66,69.8,10.29
258,Shingu,75,JP,1571019508,88,33.72,135.99,71.6,4.7
259,Menzelinsk,92,RU,1571019804,84,55.73,53.11,45.45,16.25
260,Wilmington,90,US,1571019805,87,39.75,-75.55,60.01,5.82
261,Tabou,89,CI,1571019805,95,4.42,-7.36,73.04,2.32
262,Iralaya,100,HN,1571019805,75,15.0,-83.23,83.73,12.65
263,Ballina,100,IE,1571019805,93,54.11,-9.15,46.0,1.01
264,Banja Luka,80,BA,1571019806,100,44.77,17.19,48.2,2.19
265,Alghero,21,IT,1571019806,93,40.56,8.32,62.6,4.7
266,Ojinaga,90,US,1571019806,100,29.56,-104.41,59.0,2.06
267,Yuncheng,73,CN,1571019807,64,35.03,111.0,59.23,11.03
268,Oussouye,96,SN,1571019807,95,12.49,-16.54,74.43,5.01
269,Tomatlan,100,MX,1571019807,98,19.93,-105.25,73.04,0.91
270,Tulun,39,RU,1571019808,43,54.56,100.58,40.68,5.73
271,Channel-Port aux Basques,0,CA,1571019808,88,47.57,-59.14,47.71,10.48
272,Milkovo,0,BG,1571019808,87,41.53,24.68,63.0,2.24
273,Cerro Azul,20,BR,1571019808,64,-24.82,-49.26,75.2,5.82
274,Galle,100,GN,1571019484,96,10.08,-12.83,68.52,2.69
275,Kurilsk,18,RU,1571019809,55,45.23,147.88,47.55,7.55
276,Mehamn,98,NO,1571019809,74,71.03,27.85,32.9,4.1
277,Samarai,40,PG,1571019810,68,-10.62,150.67,79.48,10.08
278,Port Hedland,62,AU,1571019442,17,-20.31,118.58,91.4,8.05
279,Margate,32,AU,1571019444,42,-43.03,147.26,75.99,5.01
280,Leshukonskoye,100,RU,1571019810,94,64.9,45.76,39.67,7.09
281,Berlevag,99,NO,1571019811,65,70.86,29.09,38.23,6.82
282,Smoky Lake,100,CA,1571019811,98,54.11,-112.47,39.99,1.99
283,Santa Fe,90,AR,1571019811,87,-31.62,-60.7,61.0,18.34
284,Dawson Creek,1,CA,1571019811,79,55.76,-120.23,39.2,3.36
285,Iberia,62,PE,1571019812,94,-11.41,-69.49,70.29,2.64
286,Tahoua,0,NE,1571019812,69,14.89,5.26,82.4,2.29
287,Ust-Koksa,0,RU,1571019812,54,50.27,85.62,43.38,6.64
288,Moose Factory,90,CA,1571019813,93,51.26,-80.61,42.8,4.7
289,Luan,0,CH,1571019813,81,46.36,6.98,55.99,4.7
290,Senador Guiomard,20,BR,1571019813,83,-10.15,-67.74,78.8,2.24
291,Mahibadhoo,0,MV,1571019814,69,3.78,72.97,82.56,4.53
292,Vanimo,100,PG,1571019506,82,-2.67,141.3,79.32,10.75
293,Lopandino,71,RU,1571019814,95,52.46,34.82,52.07,5.56
294,Vanavara,100,RU,1571019814,83,60.35,102.28,31.15,8.58
295,Comodoro Rivadavia,0,AR,1571019815,69,-45.87,-67.48,39.2,3.43
296,Tilichiki,43,RU,1571019815,69,60.47,166.1,34.81,4.46
297,Punta Cardon,14,VE,1571019815,80,11.61,-70.22,82.67,23.06
298,Port Macquarie,0,AU,1571019528,56,-31.43,152.91,75.99,12.75
299,Kassala,100,SD,1571019816,71,15.45,36.38,72.95,0.23
300,Balkhash,69,KZ,1571019816,50,46.84,74.98,54.7,12.01
301,Hit,0,IQ,1571019552,37,33.64,42.83,72.54,9.42
302,Magadi,40,IN,1571019817,78,12.96,77.22,82.99,2.24
303,Kahului,20,US,1571019817,48,20.89,-156.47,87.8,23.04
304,Moindou,20,NC,1571019817,51,-21.69,165.68,82.4,13.87
305,Duncan,1,US,1571019818,51,34.5,-97.96,66.2,8.05
306,Esperance,90,AU,1571019555,59,-33.86,121.89,64.4,9.17
307,Paamiut,0,GL,1571019818,52,61.99,-49.67,29.35,14.36
308,Luangwa,0,MZ,1571019819,60,-15.62,30.4,74.98,8.53
309,Belyye Berega,99,RU,1571019819,97,53.21,34.66,53.29,3.88
310,Hambantota,75,LK,1571019554,100,6.12,81.12,77.0,2.24
311,Vostok,0,RU,1571019819,32,46.45,135.83,36.5,12.31
312,Dwarka,20,IN,1571019820,78,28.58,77.04,86.0,3.43
313,Fortuna Foothills,1,US,1571019820,27,32.66,-114.41,81.0,8.05
314,Pachino,65,IT,1571019820,100,36.72,15.09,63.0,2.24
315,Namibe,75,AO,1571019821,88,-15.19,12.15,70.63,4.55
316,Dongsheng,100,CN,1571019821,70,29.72,112.52,67.89,11.0
317,Tunceli,0,TR,1571019821,49,39.11,39.55,46.4,5.82
318,Bowen,75,AU,1571019822,51,-20.01,148.25,84.99,8.05
319,Alta Floresta,67,BR,1571019822,82,-9.87,-56.08,73.56,2.26
320,Ouesso,0,CG,1571019822,83,1.61,16.05,69.51,2.36
321,Cherdyn,100,RU,1571019823,97,60.4,56.48,41.88,4.17
322,Alexandria,0,RO,1571019823,93,43.97,25.33,46.0,4.1
323,Rundu,70,NA,1571019823,53,-17.91,19.77,73.4,2.24
324,Rustenburg,18,ZA,1571019823,29,-25.67,27.24,77.0,2.24
325,Qena,41,EG,1571019824,41,26.16,32.72,77.0,5.25
326,Husavik,100,CA,1571019599,95,50.56,-96.99,35.01,7.0
327,Manadhoo,23,MV,1571019824,70,5.77,73.38,82.33,3.03
328,Gomez Plata,40,CO,1571019825,100,6.68,-75.22,59.0,2.24
329,Pimenteiras,19,BR,1571019825,36,-6.24,-41.42,78.67,6.78
330,Banda Aceh,100,ID,1571019825,70,5.56,95.32,83.97,1.4
331,Tocopilla,0,CL,1571019826,38,-22.09,-70.2,50.05,5.26
332,Siniscola,82,IT,1571019826,93,40.57,9.69,60.8,2.24
333,Maiduguri,0,NG,1571019826,57,11.84,13.15,81.66,9.63
334,Rawson,0,AR,1571019482,65,-43.3,-65.11,46.2,13.05
335,Naraina,0,IN,1571019827,57,26.78,75.2,78.8,7.89
336,Rome,100,IT,1571019520,93,41.89,12.48,63.0,4.7
337,Denpasar,20,ID,1571019827,79,-8.65,115.22,84.2,8.05
338,Baiyin,75,CN,1571019828,70,36.55,104.13,48.2,4.47
339,San Cristobal,99,HN,1571019607,95,14.68,-86.92,66.76,3.13
340,Orange Cove,1,US,1571019828,40,36.62,-119.31,78.8,5.05
341,Port Lincoln,21,AU,1571019526,63,-34.72,135.86,62.8,9.33
342,Camacupa,90,AO,1571019829,84,-12.02,17.48,62.06,3.99
343,Yerbogachen,100,RU,1571019567,93,61.28,108.01,28.09,10.3
344,Zambezi,98,ZM,1571019829,90,-13.55,23.12,66.42,2.55
345,Pyaozerskiy,100,RU,1571019830,94,65.83,31.17,34.83,14.65
346,Pemberton,92,AU,1571019830,62,-34.44,116.03,61.0,5.01
347,Padang,95,ID,1571019830,74,-0.92,100.36,78.67,2.57
348,Victoria Point,20,AU,1571019831,53,-27.58,153.3,81.0,12.75
349,Yar-Sale,100,RU,1571019831,93,66.83,70.83,36.27,8.55
350,Mochalishche,66,RU,1571019831,89,56.33,48.35,43.09,12.71
351,Aykhal,85,RU,1571019832,92,65.95,111.51,18.19,7.34
352,Coolum Beach,86,AU,1571019525,70,-26.53,153.09,73.99,4.0
353,Suntar,100,RU,1571019832,71,62.16,117.65,31.05,9.56
354,Hohhot,0,CN,1571019833,25,40.81,111.65,39.2,4.47
355,Jaisalmer,0,IN,1571019833,23,26.91,70.91,87.42,8.11
356,San Andres,38,PH,1571019833,59,13.32,122.68,85.53,5.61
357,Jumla,43,NP,1571019834,63,29.28,82.18,54.19,1.79
358,Lokosovo,100,RU,1571019834,96,61.13,74.84,44.83,5.93
359,Gizo,22,IL,1571019531,83,31.8,34.94,75.2,5.82
360,Trinidad,14,BO,1571019835,64,-14.83,-64.9,79.45,4.0
361,Richards Bay,78,ZA,1571019835,82,-28.77,32.06,69.13,17.3
362,Sanmenxia,73,CN,1571019836,64,34.77,111.19,59.23,11.03
363,Colares,40,PT,1571019836,93,38.8,-9.45,60.8,8.05
364,Hofn,58,IS,1571019837,66,64.25,-15.21,43.9,4.73
365,Rio Gallegos,0,AR,1571019519,64,-51.62,-69.22,35.6,5.82
366,Simacota,100,CO,1571019838,97,6.44,-73.34,60.93,2.36
367,Kununurra,52,AU,1571019458,41,-15.77,128.74,93.2,6.93
368,Swellendam,0,ZA,1571019838,87,-34.02,20.44,53.6,3.36
369,Verkhoyansk,0,RU,1571019838,76,67.55,133.39,13.23,4.03
370,Bar Harbor,1,US,1571019839,100,44.39,-68.2,54.0,2.89
371,Atar,69,MR,1571019839,47,20.52,-13.05,81.41,14.32
372,Saint-Pierre,5,FR,1571019839,93,48.95,4.24,60.8,3.36
373,Mae Hong Son,75,MM,1571019840,88,19.3,97.96,75.2,3.03
374,Urucara,61,BR,1571019435,60,-2.54,-57.76,79.54,1.8
375,Egvekinot,100,RU,1571019556,98,66.32,-179.17,28.54,9.21
